Act Name,Act Code
Mahendra Pratap Singh Estate (Repeal) Act,632
Maintenance and Welfare of Parents and Senior Citizens Act,633
Maintenance Orders Enforcement Act,634
Majority Act,636
Major Port Trusts Act,635
Mangrol and Manavadar (Administration of Property) Act,637
Manipur and Tripura (Repeal of Laws) Act,638
Manipur (Courts) Act,639
Manipur (Hill Areas District Council) Act,640
Manipur Land Revenue and Land Reforms Act,641
Manipur Municipalities Act,642
Manipur Panchayati Raj Act,643
Manipur (Sales of Motor Spirit and Lubricants) Taxation Act,644
Manipur University Act,645
Manipur (Village Authorities in Hill Areas) Act,646
"Manoeuvres, Field Firing and Artillery Practice Act",647
Marine Insurance Act,648
Marine Products Export Development Authority Act,649
Maritime Anti,1117
Maritime Zones of India (Regulation of Fishing by Foreign  Vessels) Act,650
Marking of Heavy Packages Act,651
Marriages Validation Act,652
Married Women's Property Act,653
Married Women's Property (Extension) Act,654
Maruti Limited (Acquisition and Transfer of Undertakings)  Act,655
Maternity Benefit Act,656
"Maulana Azad National Urdu University Act, 1996",657
Mediation Act,1122
Medical Termination of Pregnancy Act,658
Medicinal and Toilet Preparations (Excise Duties) Act,659
Mental Health Act,660
Merchant Shipping Act,661
Merchant Shipping (Amendment) Act,662
Merchant Shipping (Amendment) Act,663
Merged States (Laws) Act,664
Metal Corporation (Nationalisation and Miscellaneous  Provisions) Act,665
Metal Tokens Act,666
Metro Railways (Construction of Works) Act,667
Mica Mines Labour Welfare Fund Act,668
"Micro, Small and Medium Enterprises Development Act, 2006",669
Mines Act,670
Mines and Minerals (Development and Regulation ) Act,671
Minimum Wages Act,672
Mirzapur Stone Mahal Act,673
Miscellaneous Personal Laws (Extension) Act,674
Mizoram University Act,675
Mogul Line Limited (Acquisition of Shares) Act,676
Monopolies and Restrictive Trade Practices Act,677
Motor Transport Workers Act,678
Motor Vehicles Act,679
Multimodal Transportation of Goods Act,680
Multi-State Co-operative Societies Act,681
Municipal Taxation Act,682
Murshidabad Act,683
Murshidabad Estate Administration Act,684
Muslim Personal Law (Shariat) Application Act,685
Muslim Women (Protection of Rights on Divorce) Act,686
Mussalman Wakf Act,687
Mussalman Wakf Validating Act,689
Mussalman Wakf Validating Act,688
